Course ID,Course Subject,Column1,Course Number,Course Name,Course Description,Course Credits,Column1.details.career,Course Prerequisites,Column1.enrollment_information.course_attribute,Column1.offerings
MATH 131,Mathematics,MATH,131,Calculus I,"Continuity, limits, and the derivative for algebraic, trigonometric, logarithmic, exponential, and inverse functions. Applications to physics, chemistry, and engineering. Prerequisites: high school algebra, plane geometry, trigonometry, and analytic geometry. Honors section available first semester.  (Gen.Ed. R2)

[Note: Because this course presupposes knowledge of basic math skills, it will satisfy the R1 requirement upon successful completion.]",4,Undergraduate,,[List],[List]
MATH 131H,Mathematics,MATH,131H,Calculus I Honors,"This honors course will cover the standard subject matter, as given in the MATH 131 course syllabus:  Continuity, limits, and the derivative for algebraic, trigonometric, logarithmic, exponential, and inverse functions. Applications to physics, chemistry, and engineering.  The honors course will cover this material in greater depth. This means that there will be some emphasis on the underlying theory, that more applications will be included, and that some attention will be paid to history. Active student participation will be encouraged.  Students expected to have and use a Texas Instruments 89 Titanium Graphing Calculator.  (Gen.Ed. R2)

[Note: Because this course presupposes knowledge of basic math skills, it will satisfy the R1 requirement upon successful completion.]",4,Undergraduate,,[List],[List]
MATH 132,Mathematics,MATH,132,Calculus II,"The definite integral, techniques of integration, and applications to physics, chemistry, and engineering. Sequences, series, and power series. Taylor and MacLaurin series.",4,Undergraduate,Prerequisite: MATH 131.,,[List]
MATH 132H,Mathematics,MATH,132H,Honors Calculus II,"This 4-credit course will cover the standard subject matter, as given in the course syllabus: The definite integral, techniques of integration, and applications to physics, chemistry, and engineering. Sequences, series, and power series. Taylor and MacLaurin series.  The honors course will cover this material in greater depth. This means that there will be some emphasis on the underlying theory, that more applications will be included, and that some attention will be paid to history. Active student participation will be encouraged. Recommended for Freshmen, Sophomores; Majors, Non-majors.  (Gen.Ed. R2)

[Note: Because this course presupposes knowledge of basic math skills, it will satisfy the R1 requirement upon successful completion.]",4,Undergraduate,Prerequisite: MATH 131.,[List],[List]
MATH 233,Mathematics,MATH,233,Multivariate Calculus,"Techniques of calculus in two and three dimensions, including vectors, partial derivatives, multiple integrals, line integrals, surface integrals and Green's, Stokes's, and the Divergence Theorem. Honors section available.",4,Undergraduate,Prerequisite: MATH 132,,[List]
MATH 233H,Mathematics,MATH,233H,"Multivariate Calculus, Honors","Techniques of calculus in two and three dimensions.  Vectors, partial derivatives, multiple integrals, line integrals, and a complete coverage of Vector Analysis, including the theorems of Green, Stokes, and Gauss.  There will be some emphasis on the underlying theory, numerous applications will be included, and some attention will be paid to history.  Active student participation will be encouraged.  A 50-minute discussion meeting will be included in this course.  [Note: Because this course presupposes knowledge of basic math skills, it will satisfy the R1 requirement upon successful completion.]",4,Undergraduate,Prerequisite: MATH 132,,[List]
MATH 235,Mathematics,MATH,235,Introduction to Linear Algebra,"Basic concepts of linear algebra. Matrices, determinants, systems of linear equations, vector spaces, linear transformations, and eigenvalues. Prerequisite or corequisite: MATH 132, or 136, or consent of instructor.",3,Undergraduate,,,[List]
MATH 235H,Mathematics,MATH,235H,Intro Linear Algebra,"This is an Honors level introductory linear algebra course. The course will cover abstract vector spaces over arbitrary fields and linear transformations between them. In addition to standard discussion of characteristic polynomials, eigenvalues and eigenvectors, orthogonality, and inner product spaces, the course would also discuss some applications of linear algebra to problems from the other sciences and engineering, and include a discussion of the importance of numerical solutions of large systems of equations.",3,Undergraduate,,,[List]
MATH 411,Mathematics,MATH,411,Introduction to Abstract Algebra I,"Introduction to groups, rings, fields, vector spaces, and related concepts. Emphasis on development of careful mathematical reasoning. Prerequisites: MATH 235 or 236; MATH 300 or consent of instructor.",3,Undergraduate,Prerequisites: Math 235 and either CMPSCI 250 or Math 300.,,[List]
MATH 545,Mathematics,MATH,545,Lin Alg Appl Math,"Basic concepts (over real or complex numbers): vector spaces, basis, dimension, linear transformations and matrices, change of basis, similarity. Study of a single linear operator: minimal and characteristic polynomial, eigenvalues, invariant subspaces, triangular form, Cayley-Hamilton theorem. Inner product spaces and special types of linear operators (over real or complex fields): orthogonal, unitary, self-adjoint, hermitian. Diagonalization of      symmetric matrices, applications.",3,Graduate,"Prerequisites: Math 233 and 235 with a grade of C or better, and either Math 300 or COMPSCI 250",,[List]
MATH 551,Mathematics,MATH,551,Int Scientfc Comput,"Introduction to computational techniques used in science and industry. Topics selected from root-finding, interpolation, data fitting, linear systems, numerical integration, numerical solution of differential equations, and error analysis. Prerequisites: MATH 233 and 235, or consent of instructor, and knowledge of a scientific programming language.",3,Graduate,"Prerequisites: MATH 233 & 235 and either COMPSCI 121, E&C-ENG 122, PHYSICS 281, or E&C-ENG 242.",,[List]
MATH 552,Mathematics,MATH,552,Appl Scientfc Comput,"Introduction to the application of computational methods to models arising in science and engineering, concentrating mainly on the solution of partial differential equations. Topics include finite differences, finite elements, boundary value problems, fast Fourier transforms. Prerequisite: MATH 551 or consent of instructor.",3,Graduate,Prerequisites: MATH 233 and 235.,,[List]
ECE 353,Electrical & Computer Engineering,ECE,353,Computer Syst Lab I,"Lab.  Typically one or two lectures introducing each lab assignment; the lecture schedule will be posted on the course website. Topics covered in the labs include the use of C and Verilog, programmable logic, breadboarding and the use of diagnostic equipment, as well as selected topics in computer systems.",3,Undergraduate,"Pre Requisite: E&C-ENG 242 & 232, both with a grade of 'C' or better",,[List]
ECE 547,Electrical & Computer Engineering,ECE,547,Security Engineering,"This course provides an introduction to the new area of Security Engineering, and provides examples drawn from recent research at UMASS and elsewhere. Security Engineering is a multi-disciplinary field combining technical aspects of Applied Cryptography, Computer Engineering, and Networking as well as issues from Psychology, Sociology, Policy and Economics. Several guest lectures will be presented by experts in these disciplines.",3,Graduate,,,[List]
ECE 668,Electrical & Computer Engineering,ECE,668,Computr Architecture,"A graduate version of E&C-Eng 568. Quantitative study of pipelined processor architectures, memory, Input/Output,  RISC processors and vector machines. Prerequisite: undergraduate courses in digital design and hardware organization.",3,Graduate,,,[List]
COMPSCI 102,Computer Science,COMPSCI,102,Computer & Society,"What computers are, how they are used, and how their use affects society. Origins of computing and the forces that brought it about. Essential hardware components of the computer. Introduction to basic programming methods using the JavaScript language. Use of computers in business, professions, art, and science, effect of the Information Superhighway. Social, political, and economic impact of computers on society: privacy, robotics, computers in political action. Use of computer required. Not open to CMPSCI majors or premajors.",3,Undergraduate,,[List],[List]
COMPSCI 105,Computer Science,COMPSCI,105,Computer Literacy,"How computers can help solve problems efficiently and effectively. Broad introduction to hardware and software aspects of microcomputers. Four application areas: word processing, spreadsheets, databases, and telecommunications (access to the Internet). Students more interested in programming should take COMPSCI 119 or COMPSCI 121. Prerequisites: reasonable high school math skills. Typing ability an important asset.  (Gen.Ed. R2)",3,Undergraduate,,[List],[List]
COMPSCI 119,Computer Science,COMPSCI,119,Introduction to Programming,"A complete introduction to computer programming using the Python language. Topics include coverage of all the supported data types and program code structures, functions (up through lambda expressions and recursion), reasoning about and debugging existing code, implementation of custom libraries, selection of data structures, and the fundamentals of object-oriented programming. Students will create, debug, and run Python 3 programs that explore each of these topics in turn, from simple loops up through the processing of large data sets, and eventually to the creation of professional-quality libraries to synthesize graphics, audio, and other binary file types.  No prior programming experience expected. Not open to Computer Science majors.",3,Undergraduate,,,[List]
COMPSCI 120,Computer Science,COMPSCI,120,Problem Solving w/Internet,"Basic skills needed to use the Internet.  Web browsers, search strategies, basic Web page design, client-side and server-side programming, and cryptography.  Malware and viruses, e-mail management and etiquette.  Web-site management through UNIX commands, ftp file transfers, telnet sessions. Relevant and timely social, technical, and political topics.  Not intended for Computer Science majors. Programming experience not required. Prerequisites: some hands-on experience with PCs or MACs or UNIX. (Gen.Ed. R2)",3,Undergraduate,,[List],[List]
